,join_col,VTD
1531,Boom,7058
1532,15-2 Northfield Elementary School,7682
1533,16-2 Mitchell-Neilson Primary School,7684
1534,17-1 North Boulevard Church of Christ,7686
1535,17-3 Wesley Foundation,7688
1536,Tellico Village South,5464
1537,Tellico Village North,5465
1538,Red Boiling Springs High School,5551
1539,12 North City School,6054
1540,09 Ingleside School,6055
1541,10 Tennessee College of Applied Technology,6056
1542,06 Riceville School,6057
1543,05 Rogers Creek School,6058
1544,14 EK Baker School,6059
1545,01 City Park School,6060
1546,15 Mountain View School,6061
1547,07 Calhoun School,6062
1548,02 Etowah Community Center,6064
1549,03 Central High School,6065
1550,Barnes Ridge,7059
1551,3A Cooper Basin High School,7155
1552,2 Greasy Creek Comm. Club,7158
1553,1B Chilhowee Middle Sch. Gym,7153
1554,1 Delano Lions Club,7151
1555,1A Polk County High School,7152
1556,2A Springtown Firehall,7160
1558,2C South Polk School,7156
1559,2D Shiloh Baptist Youth Center,7157
1560,3 Ducktown Courthouse,7154
1561,06A Cane Creek,7264
1562,09B Double Springs,7265
1563,01A Capshaw,7266
1564,05C Prescott South,7267
1565,07D Twin Oak,7268
1566,08F Cornerstone Middle,7269
1567,08E Buffalo Valley,7270
1568,08G Upperman,7271
1569,08D Boma,7272
1570,19-2 New Vision Baptist Church,7692
1571,20-2 Blackman High School,7694
1572,Willette Community Center,5552
1573,Macon County High School,5553
1574,Macon County Junior High School,5554
1575,Westside Elementary School,5555
1576,Cross Roads Community Center,5556
1577,Macon County Welcome Center,5558
1578,Central Elementary School,5559
1579,13 Jones Chapel Family Life,6063
1580,2 Adamsville,6151
1581,4 Rose Creek,6152
1582,3 North East Selmer,6153
1583,1 McNairy,6154
1584,5 Ramer,6155
1585,6 Courthouse SE,6156
1586,7 Michie,6157
1587,1 Bethel Springs,6158
1588,1 Finger,6159
1589,3 Leapwood,6160
1590,3 Purdy,6161
1591,2 Lawton,6162
1592,7 Stantonville,6163
1593,5 East View,6164
1594,5 Guys,6165
1595,5 Cypress,6166
1596,4 North Selmer,6167
1597,05F Dry Valley,7274
1598,04C Poplar Grove Community Center,7275
1599,11B Cookeville High School,7251
1603,02A Northeast Elementary,7255
1604,7-1 New Heights Chapel,7663
1605,13-2 Cason Lane Academy,7678
1606,Lafayette Elementary School,5560
1607,10-3 North Side High School,5669
1608,9-3 Three Way City Meeting Room,5670
1612,3 City Hall,6254
1615,Election Commission,6355
1616,Vonore Community Center,6358
1617,Brown Elementary School,6353
1618,Coker Creek School,6362
1619,03A University,7256
1620,10 Pavilion,7257
1623,05A Cookeville Community Center,7261
1624,04A Burks Middle School,7262
1625,07A Burgess Falls,7263
1627,18-1 Patterson Park Community Center,7689
1628,13-1 Bellwood-Bowdoin Pre-School,7677
1629,2-1 Alexander Elementary School,5671
1630,2-3 Tigrett School,5672
1631,Rural Vale Fire Dept,6360
1632,Sequoyah High School,6357
1633,Vonore Elementary School,6354
1634,Notchey Creek Fire Dept,6359
1635,Ballplay Fire Dept,6363
1636,Sweetwater High School,6351
1637,Broad Street School,6352
1638,Tellico Community Center,6361
1639,Madisonville Primary School,6356
1640,04B Monterey High School,7273
1654,21-1 Hobgood Elementary School,7695
1655,21-2 BlackFox Elementary School,7696
1656,8-2 Eagleville Community Center,7666
1657,2-1 Lascassas Elementary School,7698
1658,12-3 LaVergne High School,7699
1659,3-1 Leanna Church of Christ,7654
1660,2-2 Aldersgate United Methodist Church,5673
1661,4-2 Andrew Jackson School,5674
1662,4-3 Festivities Events Place,5675
1669,21B,6462
1687,7-2 Barfield Elementary School,7664
1688,18-2 Riverdale High School,7690
1689,4-1 Masonic Temple Lodge #45,5676
1690,1-1 Carl Perkins Civic Center,5651
1691,1-2 Mt. Moriah Baptist Church,5652
1696,Johnson School House,7474
1697,1-1 East Robertson Elementary School,7551
1698,2-1 Robert F. Woodall Elementary School,7552
1699,3-2 White House Heritage HS,7553
1700,4-1 Watauga Elementary School,7554
1701,6-2 Mt. Sharon C.P. Church,7556
1702,6-1 Coopertown Middle School,7557
1703,7-2 Stroudsville Church of Christ,7558
1704,3 Lake County Middle School,4953
1705,1 Tiptonville Senior Center,4951
1706,2 Lake County Courthouse,4952
1707,Edith,5053
1709,Arp,5055
