join_col,G16PRERTru_y,G16PREDCli_y,G16PREIDeL_y,G16PRELJoh_y
5-1 Elk Valley,227,25,0,4
5th,227,30,0,3
Memphis 90-2,227,1875,6,15
Oliver Springs,228,51,1,4
2-1 Pineview,229,76,0,4
4th,230,36,0,11
Little Milligan,230,38,0,3
West Fentress,231,39,1,3
6-1 Kellys,231,49,1,6
6-4 Medon,231,93,0,6
Pall Mall,232,42,0,4
Memphis 58-1,232,1355,3,13
3-1 Beech Creek,233,36,1,3
1-5 Well Springs,234,44,0,3
6-2 Keltonburg,235,83,1,7
Edith 7,236,37,0,5
7-1 Jeanette,236,67,0,14
10 Providence,237,97,0,6
085 Valdeau,237,108,0,20
3-7 Darden,238,16,1,4
17-6,233,355,2,25
1-1 Cedar Creek,240,46,0,7
Dixie Hills,240,320,2,2
2-Sep,241,259,0,6
18-1 Laneview,242,54,0,5
9-2 Summitville,242,70,1,6
Briceville,243,42,3,5
141 Concord 3,243,153,0,9
Cannon,244,60,3,2
Cedar Grove,244,76,0,7
7,244,125,1,3
028 Lake Hills,244,654,1,17
12-1 Center,245,24,0,5
1-Feb,246,75,0,4
06 Walnut Grove,247,80,1,9
11 Central UMC,247,874,4,46
005 Bonny Oaks,247,1302,2,17
16 Marvin's Chapel,248,118,0,11
2-2 Luminary,249,32,0,8
58N Pedigo,249,43,1,6
2-2 Scotts Hill,249,49,1,3
12C Brotherton,249,55,1,9
197 Downtown 2,250,952,0,63
05-2 Gandy,251,48,0,4
6-1 Central View,253,57,2,8
3-1 Coon Creek,254,61,0,8
10N Fort Sanders,254,635,3,81
12-1 Bransford,250,901,2,18
03 Beech Grove,255,59,0,9
3-1 Lone Mountain,256,50,0,11
4-3 Lobelville,257,59,1,10
Lawton 2-2,257,66,0,7
1-Jul,258,443,2,4
C3- Roellen,260,47,0,3
Whitwell Mountain,260,68,1,5
22 Fairhaven Outside,260,79,2,10
6-3 Mulberry,261,68,0,3
02 Cato,261,92,3,13
5-1 Johnson Chapel,262,43,0,6
4 Keplar,262,55,0,6
118 Apison 2,262,100,1,10
16-2,262,210,1,23
5-Oct,255,521,1,20
6-1 Holly Creek,263,31,1,4
21 Asbury,263,56,1,10
32-4,256,1137,4,37
2-14 South Haven,264,47,0,8
3rd,265,48,2,5
3-4 Rushing Springs,265,59,0,6
Haletown-Ladd,265,107,1,9
19-2,258,1026,2,75
03-2 Centerpoint,267,71,0,3
5-4 Newcomb,267,71,0,8
9-2 Viola,267,78,1,18
05 Templow,267,85,1,10
Erin,267,133,3,14
Memphis 93-3,269,1061,6,9
6-3 Blue Springs,270,61,0,3
McLemoresville,270,82,2,8
7A GCHS,270,208,1,16
5-2 Middle School,271,58,2,17
Dutch Valley,271,73,0,11
Oak Hill 4-2,271,82,0,6
1-Mar,271,95,0,6
1-Jan,272,130,0,7
8-3 Bonner,275,72,2,14
29-1,268,556,0,26
Forest Hills 03,275,2130,2,17
Cherokee,276,74,4,19
2-Apr,272,78,3,8
Saltillo 5-1,277,86,3,5
5-3 Shady Grove,277,91,2,19
30-1,271,516,2,29
5-2 Armory,279,312,2,6
Lavinia,280,42,0,6
3-3 Walnut Grove,280,96,0,5
4-2 Andrew Jackson,280,489,3,8
1-2 Grandview,283,59,3,3
McKenzie,284,106,0,5
2nd,285,34,1,3
2-1 Liberty,285,53,1,4
1-3 Mt. Crest,285,56,0,11
17 National Guard Armory,285,183,1,21
Spencer 1,286,108,0,4
19-4,279,739,4,70
McNairy 1-3,287,50,1,8
Shellmound,287,88,1,4
5-2 Burrville,288,90,2,3
Lacy,290,62,0,4
Hornsby,291,43,0,3
059 Meadowview,291,64,0,15
McBride 1,291,155,0,4
1-Jul,283,1002,2,57
Spencer 5,292,89,1,9
Conner 2,292,144,1,3
18 Lincoln Park,292,485,1,32
6-1 Lobelville,294,108,0,4
2-3 Snows Hill,295,92,1,2
5-2 Cloverdale,296,34,2,3
Luttrell,296,36,0,6
1-5 Sweet Lips,296,65,0,6
Ripley 2,296,272,2,9
5-2 Lutts,297,24,0,5
19-2 Currie,297,62,1,13
1-Apr,297,68,0,5
11-1 Midway,297,94,0,7
2-May,297,118,0,6
3-Jan,289,3194,8,32
18-2 Good Luck,298,50,0,0
2-1 Alexander,298,894,1,13
6-2 Belleville,299,52,1,6
Highland View,299,278,2,28
Leapwood 3-1,300,32,1,5
