join_col,G16PRERTru_y,G16PREDCli_y,G16PREIDeL_y,G16PRELJoh_y
Alcoa,1477,589,7,93
1-Aug,1478,286,3,39
1-Feb,1482,375,1,55
2-Mar,1484,715,4,83
20A Clarksville,1485,762,2,70
10-1 Boyds Creek,1487,281,1,53
1-Jul,1488,793,6,110
Macon,1491,445,4,29
017 East Brainerd 1,1491,765,4,68
2C,1493,390,2,31
10 Lakeridge,1493,597,1,70
Mt. Pleasant 10-1,1493,751,3,42
078 Red Bank 3,1495,768,0,110
89 Mt. Olive,1502,912,6,110
16-1,1476,633,2,73
Lenoir City,1510,532,4,67
1A Capshaw,1511,794,3,78
19-2,1512,763,3,93
060 Ooltewah 1,1519,705,3,73
5 Jefferson Middle,1520,373,1,52
2-Jul,1520,668,0,91
Bartlett 11,1531,407,2,60
17-1,1502,597,0,72
1-Apr,1506,676,2,67
2 Chuckey,1538,306,0,35
2-Jan,1540,551,5,107
Browder,1541,387,2,41
2-Mar,1542,616,5,120
1-Aug,1512,691,3,77
34-3,1506,1268,1,134
091 Westview 2,1560,686,4,97
098 Harrison 3,1561,678,1,78
Memphis 91-4,1565,1283,1,80
13-1,1566,312,5,43
2-Oct,1566,817,4,102
Germantown 10,1567,645,2,84
Bartlett 13,1567,1630,3,74
63N Karns North,1573,470,0,56
Collierville 02,1573,1235,5,55
19-1,1574,594,6,76
Jasper,1574,651,5,55
62 Hardin Valley,1575,534,4,105
4A MCMS,1579,534,4,58
4-3 Bedford,1582,308,4,20
3-Jun,1585,842,2,99
1-Feb,1555,534,4,74
1-1 Westmoreland,1588,372,3,55
20 Visitor's Center,1588,674,5,76
1-May,1588,818,2,103
69W A. L. Lotts,1588,995,4,115
2-1 Clark Memorial,1590,549,9,52
Germantown 03,1592,695,4,92
3-2 Harrisburg,1605,288,1,44
2-3 Fair Haven,1605,298,3,31
2-Jun,1612,938,1,106
11,1618,284,1,24
050 Apison 1,1620,314,2,86
1-Oct,1589,631,1,106
31-4,1578,1543,4,130
09 B.C. City,1622,639,2,86
2 Piedmont,1625,291,2,44
58S Pedigo,1626,339,3,61
3-Dec,1627,726,5,133
6 Mosheim,1632,305,3,29
3-May,1635,515,4,84
Maryville HS,1636,764,5,99
3A,1641,504,9,75
2-3 SE Covington,1642,829,10,39
Brunswick 02,1647,1330,4,82
10-2 North East,1653,663,5,38
104 East Brainerd 2,1653,939,3,88
1-Jan,1657,576,2,77
1-3 Corinth,1660,390,5,52
1A,1661,322,5,49
9B Double Springs,1662,474,1,69
CP Church 5-1,1668,639,3,71
6-2 Blue Springs,1672,270,7,49
033 Mountain Creek 1,1672,1162,5,160
185 Dallas 1,1673,397,1,77
Collierville 06,1676,516,1,58
2-1 Portland,1680,468,6,65
1-Jan,1650,551,1,68
2A St B MC,1693,933,5,109
69N West Valley,1698,1041,8,140
Bartlett 03,1699,449,3,74
8-1 Brown,1699,854,5,79
3-Apr,1701,774,4,95
68 South Cedar Bluff,1702,1152,6,139
1 Dandridge ES,1703,416,5,53
7B,1706,418,1,95
17 Town Acres,1715,882,4,97
4-Apr,1671,1524,8,138
City Park,1718,459,5,48
2-Nov,1673,897,4,93
11-1 Gatlinburg,1719,620,3,61
Millington 02,1720,1230,6,85
207 Signal Mountain 1,1725,1092,3,136
Kingston Ward 1,1728,488,4,62
8-21 Wilkinsville,1733,660,3,49
13-1,1700,475,0,71
5-1 Blythe/Bower,1736,454,5,65
47 Bearden High,1741,1907,10,226
05-1 Greenbrier,1718,462,1,54
8-2 Hawkins,1749,787,4,80
7-19 Austin Peay,1751,843,3,41
2B,1756,577,3,87
01-1 East Robertson,1732,469,3,64
69S Northshore,1762,962,5,126
23-1,1731,706,2,111
Bear Creek 8-1,1771,544,5,46
Happy Valley,1778,577,1,91
Tellico V. South,1781,682,3,62
088 Hixson 2,1782,782,2,104
1,1783,458,6,48
4B,1789,336,1,54
4-May,1794,834,4,159
1-Oct,1794,1146,5,147
3-Aug,1800,896,4,115
Pleasant Heights 9-2,1805,492,4,60
090 Harrison 2,1806,1194,4,112
15-1,1808,934,1,107
03 Gray East,1812,387,0,54
1-3 Hopewell,1824,321,0,39
5-1 Sevierville,1824,480,2,54
048 Lookout Valley 1,1831,581,1,57
1-Feb,1832,506,5,85
2-Dec,1793,1379,2,138
37 Inskip Elementary,1847,1403,13,158
2-May,1849,817,3,117
14-1,1817,625,0,70
Bartlett 04,1867,1120,3,65
6-14 SW Tipton,1870,438,1,43
1-Mar,1872,578,3,85
04-1 Watauga,1844,527,4,68
051 Birchwood,1875,324,2,49
1 Mount Carmel,1875,384,6,58
02-1 Woodall,1861,476,2,93
Hickory Withe,1898,481,3,53
Niota,1907,340,4,34
3-Apr,1907,976,6,124
9-1 VFW,1913,762,3,46
Bartlett 05,1918,862,7,88
Memphis 57,1924,1216,5,119
3-Nov,1926,781,3,125
9-22 Brighton,1932,501,2,46
6-1 Harpeth,1939,905,4,86
179 Snowhill 2,1944,495,2,69
2-Feb,1949,664,8,100
1 Cornerstone,1957,524,4,53
84 Ritta,1957,739,9,99
18-1,1925,396,3,69
90 South Doyle,1973,673,6,73
2-Jun,1974,824,2,97
9 Fairfield North,1978,655,4,34
9-2 Pope,1980,613,9,52
Collierville 09,1981,604,3,96
4 Camp Creek,1984,377,2,30
2-2 East Cheatham,1987,524,6,61
205 Ooltewah 4,1992,613,2,98
Millington 01,1994,1006,4,81
2-Apr,1995,685,5,102
4-1 Oak Grove,1998,310,4,62
45 Bearden Middle,2001,1338,12,166
2-Sep,2009,723,5,93
1-Apr,2015,1024,9,141
St. Catherine 4-1,2016,1075,2,93
1-Apr,1966,1530,3,170
35-3,1976,1981,2,185
3-Jul,2044,1049,2,133
69E Bluegrass,2045,1111,8,162
3-3 Creekside,2061,629,4,54
Collierville 03,2075,511,2,96
1-Aug,2079,638,3,91
Highland Park,2083,550,3,65
11-2 Goodlettsville,2090,857,2,68
083 Soddy Daisy 1,2091,546,0,94
8-1 Kodak,2094,359,4,51
72 Dante,2098,741,7,99
Eagleton MS Cafeteria,2100,661,7,89
9-1 Hendersonville,2102,991,5,112
2A,2107,786,3,122
7A,2114,615,7,86
Germantown 11,2124,766,2,95
Germantown 02,2125,915,7,106
1-Mar,2088,599,1,78
64 Solway,2130,902,5,133
3-6 Tipton West,2131,255,1,51
06 Sulphur Springs,2135,439,9,61
1-May,2095,634,2,71
Bartlett 09,2137,649,1,89
3-1 Civic Center,2137,679,4,70
3-1 Pleasant View,2138,542,2,98
1-Sep,2152,1081,6,114
14-1,2153,1098,3,117
Collierville 04,2167,670,6,77
1-Jun,2169,625,0,90
1-1 Medina,2174,310,2,37
075 Pleasant Grove 1,2195,748,4,102
9 Fairfield South,2195,918,6,54
10-2 Merrol Hyde,2197,968,5,118
Stewartville,2200,697,2,47
2-Feb,2200,828,4,139
5-12 Munford,2202,425,6,83
2-Jul,2206,1208,2,138
3 White Pine,2211,386,3,65
2-Aug,2224,1118,0,135
67 North Cedar Bluff,2227,1522,9,234
70W Ball Camp,2237,1213,7,167
Germantown 05,2248,1094,2,120
3-2 Senior Center,2259,626,11,95
15 Courthouse,2261,558,2,75
2 Church Hill Inside,2261,575,4,55
6-3 Jack Anderson,2266,807,3,127
7 Woodlawn,2273,573,5,121
2-2 Walker Valley,2275,497,4,82
6B,2287,494,5,68
1-Jun,2291,1187,8,162
1-Mar,2296,854,4,145
Germantown 04,2308,928,4,112
7-1 Stuart,2316,820,7,109
2-Dec,2323,1213,4,184
5A,2331,565,4,59
10A,2349,768,4,134
20-2,2349,1178,3,150
12-1 Oakmont,2362,514,4,67
12-3 White House,2386,508,6,93
3-Sep,2427,1031,2,162
14-2,2446,1058,1,122
Eaton,2450,594,6,103
4-2 Michigan Ave,2472,472,3,73
4-1 Howard,2481,1083,2,106
19 Oakland,2483,1477,7,181
9A,2491,582,1,84
9-1 Seymour Primary,2499,581,5,118
1-Nov,2470,1183,7,145
71 Rocky Hill,2525,1561,12,214
20-1,2546,916,7,123
Bartlett 08,2553,886,4,130
Collierville 01,2571,645,2,119
7-1 Whitten,2582,998,5,140
Montvale,2589,657,4,101
70E Amherst,2593,1102,8,178
Oakland,2624,861,4,60
Spring Hill 11-2,2649,1156,10,158
1-2 Prospect,2653,528,5,99
15 Sango,2666,1094,7,149
Arlington 01,2718,910,3,117
9-2 Indian Lake,2720,882,2,146
8A,2738,641,5,103
4-11 Atoka,2789,734,8,118
1-Jul,2865,1161,2,150
Wm Blount Academy,2889,614,3,114
65E Shoreline,2915,1554,8,224
59 Brickey,2917,821,7,131
6-1 Seymour,2921,611,3,101
11A,2953,1314,9,168
6-1 Vol State,2978,808,3,103
63 Karns,3057,970,7,165
Lakeland 01,3064,915,5,100
65W Concord,3068,1215,16,178
4-1 Pigeon Forge,3113,621,2,103
3 East Montgomery,3155,947,6,166
2-1 E.L. Ross,3208,749,6,119
7-3 Long Hollow,3208,870,4,144
81 Gibbs,3327,631,6,110
6A,3349,706,4,134
73 Powell,3406,1005,5,187
4A,3623,811,9,82
66S Farragut II,3775,1764,11,262
66N Farragut I,4216,1959,13,258
61 Halls,4646,1253,4,157
