G16PRERTru_x,G16PREDCli_x,G16PREIDeL_x,G16PRELJoh_x,join_col
171,837,2,49,Memphis 178108
173,50,0,6,Waldens Ridge5765
173,117,0,4,05-2 Beersheba Towers9208
173,532,1,5,7-3 Denmark West Community Center5658
174,36,0,5,07-2 Pleasantville4211
174,515,3,24,1-1 Carl Perkins Civic Center5651
175,286,2,18,50-S4860
176,263,1,24,13-21860
178,50,0,3,Pelham3158
178,1076,11,25,134871
179,1541,7,18,Memphis 72-78190
180,47,0,5,Central3155
184,64,0,3,"1-2 Sparta Civic Center, County9609"
184,362,1,4,02 Parks & Recreation Dept3901
185,42,0,1,4-1 Maple Grove1301
186,40,0,6,Deer Lodge 4-26661
186,45,0,1,07-4 Coble4214
186,45,0,4,7 Bulls Gap Inside3823
186,68,0,2,Palmer3162
187,63,0,4,2 Clifton9401
188,260,1,14,30-31938
189,31,1,6,Kodak 27974
190,39,1,6,Watauga0920
190,613,2,29,31-11940
190,1249,3,50,6-51830
191,51,1,2,02-2 Fairfield4205
191,1081,5,51,17-11878
192,416,0,21,16-11873
192,693,2,20,304868
193,34,2,3,Rankin1413
193,69,1,10,33-11948
193,1954,1,21,Memphis 74-18194
194,54,0,14,Cummingsville Community Cntr9106
194,90,0,2,2-24502
195,72,0,4,2-2 Dowelltown2160
195,159,0,3,101605
195,396,0,45,10-S4832
195,1557,4,73,5-21822
196,35,0,4,3-4 Masseyville1111
196,48,0,4,1-2 Temperence Hall2159
196,2966,3,14,Ross Store 168269
197,83,0,6,5-2 Pea Ridge1304
197,736,1,16,29-31934
198,40,1,6,River Canyon5761
199,70,0,14,Collegedale 33379
200,1773,4,17,Memphis 94-88251
201,23,2,3,5 Wayne Co. High School9414
201,114,0,6,8 Willard8808
203,48,1,2,Mossy Grove 2-26657
204,43,0,4,3 Purdy6161
204,869,2,24,Memphis 88-28232
205,51,0,2,Elora Community Center5366
205,59,0,8,4 Short Mountain0709
205,66,0,5,Pinecrest0612
207,24,0,1,6 Olive Hill3711
208,52,1,9,1-6 Harmony1109
209,55,1,5,College Hill0601
209,1354,4,7,Memphis 74-58197
209,2256,3,21,Ross Store 058265
210,44,1,6,6 Clinch3818
210,89,1,4,19 Concord0806
210,93,1,6,4 Halltown8804
212,25,0,5,Flat Top Mountain3416
212,34,0,6,Nine Mile0310
214,19,0,1,Pocahontas3611
215,88,0,12,1-41804
215,409,0,5,Henning5064
216,56,0,6,4 Dykes3805
217,2877,4,24,Ross Store 138266
218,66,0,9,Pleasant Ridge0707
219,32,1,4,Midway1715
219,109,0,8,12 Edison2760
220,77,0,5,5-1 Arcot/Beech Bethany1302
220,850,3,32,Eastside 13378
221,31,1,3,Johnson School House7474
221,66,0,2,07-1 Nunnelly4213
221,158,0,3,15 La Grange2459
221,278,3,22,8A6451
222,55,1,10,6-1 Iron City5171
222,439,1,24,5B6476
222,786,0,31,8-21838
223,26,0,3,3-6 Deanburg1110
224,96,0,3,6-14501
224,101,1,4,Saulsbury3612
224,761,2,17,3-61816
225,73,1,5,01-1 Nunnelly4212
226,97,1,7,7-4 Mercer Fire Station5659
227,25,0,4,Elk Valley0605
227,30,0,3,5th3505
227,1875,6,15,Memphis 90-28239
228,51,1,4,Oliver Springs7466
229,76,0,4,201 Pineview6951
230,36,0,11,4th3502
230,38,0,3,Little Milligan0913
231,39,1,3,West Fentress2560
231,49,1,6,Kelly's 6-16660
231,93,0,6,6-4 Medon City Hall5661
232,42,0,4,Pall Mall2559
232,1355,3,13,Memphis 58-18158
233,36,1,3,3 Beech Creek Fire Hall9402
234,44,0,3,Well Springs0617
235,83,1,7,6-2 Keltonburg2165
236,37,0,5,Edith5053
236,67,0,14,7-1 Jeanette2057
237,97,0,6,10 Providence8810
237,108,0,20,Valdeau3324
238,16,1,4,3-3 Darden4008
239,365,2,26,17-61883
240,46,0,7,101 Cedar Creek6954
240,320,2,2,Dixie Hills3610
241,259,0,6,09B West Side Church of Christ3914
242,54,0,5,34 Laneview2775
242,70,1,6,9-2 Summitville Community Center1523
243,42,3,5,Briceville0002
243,153,0,9,Concord 33427
244,60,3,2,18 Cannon0814
244,76,0,7,Cedar Grove Community Cntr.9101
244,125,1,3,71610
244,654,1,17,Lake Hills3302
245,24,0,5,12-1 Prince Tree Service5174
246,75,0,4,2-14509
247,80,1,9,6 Walnut Grove8806
247,874,4,46,114875
247,1302,2,17,Bonny Oaks3422
248,118,0,11,16 Marvin's Chapel9329
249,32,0,8,Luminary0307
249,43,1,6,58-N4895
249,49,1,3,Scotts Hill2051
249,55,1,9,12C Brotherton7260
250,952,0,63,Downtown 23318
251,48,0,4,5-2 Gandy5172
253,57,2,8,"6-1 Central View School, County9602"
254,61,0,8,301 Coon Creek6953
254,635,3,81,10-N4862
254,926,2,18,12-1 Bransford School7568
255,59,0,9,3 Beech Grove8803
256,50,0,11,3-1 Lone Mountain1207
257,59,1,10,403 Lobelville Elem. School6952
257,66,0,7,2 Lawton6162
258,443,2,4,07 Delta Heritage Center3912
260,47,0,3,C - Roellen2355
260,68,1,5,Whitwell Mtn. FD5767
260,79,2,10,22 Fairhaven Outside9314
261,68,0,3,Mulberry Fire Hall5365
261,92,3,13,2 Cato8802
262,43,0,6,5-1 Johnson Chapel2164
262,55,0,6,4 Kepler3802
262,100,1,10,Apison 23393
262,210,1,23,16-2 Mitchell-Neilson Primary School7684
262,535,1,20,10-51848
263,31,1,4,6 Holly Creek Fire Hall9406
263,56,1,10,21 Asbury9328
263,1168,4,38,32-41947
264,47,0,8,2-2 South Haven4013
265,48,2,5,3rd3503
265,59,0,6,3 Rushing Springs6859
265,107,1,9,Haletown-Ladds5753
265,1054,2,77,19-21891
267,71,0,3,3-2 Centerpoint5169
267,71,0,8,Newcomb0620
267,78,1,18,09-2 Viola Valley Comm. Center9215
267,85,1,10,5 Templow8805
267,133,3,14,Erin City Hall4303
269,1061,6,9,Memphis 93-38246
270,61,0,3,6-3 Blue Springs2154
