,NAME,VTD,G16PRERTru_x,G16PREDCli_x,G16PREIDeL_x,G16PRELJoh_x,G16PRESKen_x,G16PREISmi_x,G16PREGSte_x,G16PREOth_x,geometry,county,join_col,County,Precinct,G16PRERTru_y,G16PREDCli_y,G16PREIDeL_y,G16PRELJoh_y,G16PRESKen_y,G16PREISmi_y,G16PREGSte_y,G16PREOth_y,_merge
2558,,,,,,,,,,,,,1-1 Dill,Bledsoe,1-1 Dill,150.0,56.0,1.0,5.0,1.0,0.0,0.0,0.0,right_only
2559,,,,,,,,,,,,,1-2 Griffith,Bledsoe,1-2 Griffith,84.0,42.0,1.0,4.0,0.0,0.0,1.0,1.0,right_only
2560,,,,,,,,,,,,,1-3 Mt. Crest,Bledsoe,1-3 Mt. Crest,285.0,56.0,0.0,11.0,0.0,2.0,0.0,2.0,right_only
2561,,,,,,,,,,,,,2-1 Cold Springs,Bledsoe,2-1 Cold Springs,379.0,98.0,0.0,9.0,0.0,0.0,0.0,3.0,right_only
2562,,,,,,,,,,,,,2-2 Luminary,Bledsoe,2-2 Luminary,249.0,32.0,0.0,8.0,0.0,0.0,2.0,0.0,right_only
2563,,,,,,,,,,,,,3-1 Brayton,Bledsoe,3-1 Brayton,332.0,36.0,0.0,5.0,0.0,6.0,2.0,0.0,right_only
2564,,,,,,,,,,,,,3-2 Rigsby,Bledsoe,3-2 Rigsby,461.0,61.0,1.0,11.0,0.0,0.0,0.0,3.0,right_only
2565,,,,,,,,,,,,,4-1 Pikeville,Bledsoe,4-1 Pikeville,414.0,198.0,1.0,9.0,1.0,1.0,5.0,2.0,right_only
2566,,,,,,,,,,,,,5-1 Bellview,Bledsoe,5-1 Bellview,445.0,54.0,2.0,11.0,1.0,0.0,2.0,0.0,right_only
2567,,,,,,,,,,,,,5-2 Nine Mile,Bledsoe,5-2 Nine Mile,212.0,34.0,0.0,6.0,0.0,0.0,0.0,0.0,right_only
2568,,,,,,,,,,,,,6-1 Lee Station,Bledsoe,6-1 Lee Station,112.0,62.0,0.0,7.0,0.0,0.0,0.0,0.0,right_only
2569,,,,,,,,,,,,,6-2 Lusk,Bledsoe,6-2 Lusk,499.0,168.0,1.0,9.0,1.0,0.0,6.0,1.0,right_only
2570,,,,,,,,,,,,,Alcoa,Blount,Alcoa,1477.0,589.0,7.0,93.0,5.0,11.0,20.0,23.0,right_only
2571,,,,,,,,,,,,,Board of Education,Blount,Board of Education,1461.0,565.0,0.0,88.0,1.0,12.0,13.0,8.0,right_only
2572,,,,,,,,,,,,,Eagleton MS Cafeteria,Blount,Eagleton MS Cafeteria,2100.0,661.0,7.0,89.0,4.0,13.0,14.0,19.0,right_only
2573,,,,,,,,,,,,,Maryville HS,Blount,Maryville HS,1636.0,764.0,5.0,99.0,5.0,13.0,14.0,20.0,right_only
2574,,,,,,,,,,,,,Maryville Jr High,Blount,Maryville Jr High,1230.0,637.0,4.0,109.0,3.0,4.0,18.0,20.0,right_only
2575,,,,,,,,,,,,,Oakview,Blount,Oakview,1461.0,319.0,1.0,45.0,1.0,3.0,8.0,7.0,right_only
2576,,,,,,,,,,,,,William Blount HS,Blount,William Blount HS,954.0,238.0,2.0,47.0,4.0,6.0,3.0,5.0,right_only
2577,,,,,,,,,,,,,Wm Blount Academy,Blount,Wm Blount Academy,2889.0,614.0,3.0,114.0,5.0,11.0,18.0,18.0,right_only
2578,,,,,,,,,,,,,1-1 McDonald,Bradley,1-1 McDonald,1122.0,195.0,1.0,39.0,1.0,5.0,6.0,0.0,right_only
2579,,,,,,,,,,,,,1-2 Prospect,Bradley,1-2 Prospect,2653.0,528.0,5.0,99.0,1.0,19.0,15.0,13.0,right_only
2580,,,,,,,,,,,,,1-3 Hopewell,Bradley,1-3 Hopewell,1824.0,321.0,0.0,39.0,2.0,3.0,10.0,3.0,right_only
2581,,,,,,,,,,,,,2-1 E.L. Ross,Bradley,2-1 E.L. Ross,3208.0,749.0,6.0,119.0,4.0,15.0,15.0,12.0,right_only
2582,,,,,,,,,,,,,2-2 Walker Valley,Bradley,2-2 Walker Valley,2275.0,497.0,4.0,82.0,2.0,6.0,15.0,4.0,right_only
2583,,,,,,,,,,,,,3-1 Lee University,Bradley,3-1 Lee University,998.0,518.0,3.0,79.0,5.0,8.0,23.0,11.0,right_only
2584,,,,,,,,,,,,,3-2 Senior Center,Bradley,3-2 Senior Center,2259.0,626.0,11.0,95.0,7.0,16.0,15.0,11.0,right_only
2585,,,,,,,,,,,,,4-1 Oak Grove,Bradley,4-1 Oak Grove,1998.0,310.0,4.0,62.0,3.0,8.0,11.0,3.0,right_only
