vest_ID,election_ID
3 Beech Creek Fire Hall9402,3-1 Beech Creek
Well Springs0617,1-5 Well Springs
6-2 Keltonburg2165,6-2 Keltonburg
Edith5053,Edith 7
7-1 Jeanette2057,7-1 Jeanette
10 Providence8810,10 Providence
Valdeau3324,085 Valdeau
3-3 Darden4008,3-7 Darden
17-61883,17-6
101 Cedar Creek6954,1-1 Cedar Creek
Dixie Hills3610,Dixie Hills
09B West Side Church of Christ3914,2-Sep
34 Laneview2775,18-1 Laneview
9-2 Summitville Community Center1523,9-2 Summitville
Briceville0002,Briceville
Concord 33427,141 Concord 3
18 Cannon0814,Cannon
Cedar Grove Community Cntr.9101,Cedar Grove
71610,7
Lake Hills3302,028 Lake Hills
12-1 Prince Tree Service5174,12-1 Center
2-14509,1-Feb
6 Walnut Grove8806,06 Walnut Grove
114875,11 Central UMC
Bonny Oaks3422,005 Bonny Oaks
16 Marvin's Chapel9329,16 Marvin's Chapel
Luminary0307,2-2 Luminary
58-N4895,58N Pedigo
Scotts Hill2051,2-2 Scotts Hill
12C Brotherton7260,12C Brotherton
Downtown 23318,197 Downtown 2
5-2 Gandy5172,05-2 Gandy
"6-1 Central View School, County9602",6-1 Central View
301 Coon Creek6953,3-1 Coon Creek
10-N4862,10N Fort Sanders
12-1 Bransford School7568,12-1 Bransford
3 Beech Grove8803,03 Beech Grove
3-1 Lone Mountain1207,3-1 Lone Mountain
403 Lobelville Elem. School6952,4-3 Lobelville
2 Lawton6162,Lawton 2-2
07 Delta Heritage Center3912,1-Jul
C - Roellen2355,C3- Roellen
Whitwell Mtn. FD5767,Whitwell Mountain
22 Fairhaven Outside9314,22 Fairhaven Outside
Mulberry Fire Hall5365,6-3 Mulberry
2 Cato8802,02 Cato
5-1 Johnson Chapel2164,5-1 Johnson Chapel
4 Kepler3802,4 Keplar
Apison 23393,118 Apison 2
16-2 Mitchell-Neilson Primary School7684,16-2
10-51848,5-Oct
6 Holly Creek Fire Hall9406,6-1 Holly Creek
21 Asbury9328,21 Asbury
32-41947,32-4
2-2 South Haven4013,2-14 South Haven
3rd3503,3rd
3 Rushing Springs6859,3-4 Rushing Springs
Haletown-Ladds5753,Haletown-Ladd
19-21891,19-2
