,unique_ID
1186,Maury-Armory
1187,Maury-Bear Creek
1188,Maury-Bigbyville
1189,Maury-CP Church
1190,Maury-College Hill
1191,Maury-Culleoka
1192,Maury-First Family
1193,Maury-Hampshire
1194,Maury-Highland
1195,Maury-Mt. Pleasant
1196,Maury-Neapolis
1197,Maury-Northfield
1198,Maury-Pleasant Heights
1199,Maury-Rally Hill
1200,Maury-Riverside
1201,Maury-Santa Fe
1202,Maury-Spring Hill
1203,Maury-Spring Hill Middle
1204,Maury-St. Catherine
1205,Maury-Theta
1206,Maury-West End
1207,McMinn-01 City Park School
1208,McMinn-02 Etowah Community Center
1209,McMinn-03 Central High School
1210,McMinn-04 Englewood School
1211,McMinn-05 Rogers Creek School
1212,McMinn-06 Riceville School
1213,McMinn-07 Calhoun School
1214,McMinn-08 Niota School
1215,McMinn-09 Ingleside School
1216,McMinn-10 Tennessee College of Applied Technology
1217,McMinn-11 McMinn Courthouse
1218,McMinn-12 North City School
1219,McMinn-13 Jones Chapel Family Life
1220,McMinn-14 EK Baker School
1221,McMinn-15 Mountain View School
1222,McNairy-1 Bethel Springs
1223,McNairy-1 Finger
1224,McNairy-1 McNairy
1225,McNairy-2 Adamsville
1226,McNairy-2 Lawton
1227,McNairy-3 Leapwood
1228,McNairy-3 North East Selmer
1229,McNairy-3 Purdy
1230,McNairy-4 North Selmer
1231,McNairy-4 Rose Creek
1232,McNairy-5 East View
1233,McNairy-5 Guys
1234,McNairy-5 Ramer
1235,McNairy-6 Courthouse SE
1236,McNairy-7 Michie
1237,McNairy-7 Stantonville
1240,Meigs-3 City Hall
1241,Meigs-3 Courthouse
1244,Monroe-1 Sweetwater High School
1245,Monroe-10 Rural Vale Fire Dept
1246,Monroe-11 Tellico Community Center
1247,Monroe-12 Coker Creek School
1248,Monroe-14 Ballplay Fire Dept
1249,Monroe-2 Broad Street School
1250,Monroe-3 Sweetwater Primary School
1251,Monroe-4 Vonore Elementary School
1252,Monroe-5 Election Commission
1253,Monroe-6 Madisonville Primary School
1254,Monroe-7 Sequoyah High School
1255,Monroe-8 Vonore Community Center
1256,Monroe-9 Notchey Creek Fire Dept
1257,Montgomery-10
1258,Montgomery-11
1259,Montgomery-12
1260,Montgomery-13
1261,Montgomery-14
1262,Montgomery-15
1263,Montgomery-16
1264,Montgomery-17
1265,Montgomery-18
1266,Montgomery-19
1267,Montgomery-1A
1268,Montgomery-1B
1269,Montgomery-20A
1270,Montgomery-20B
1271,Montgomery-21A
1272,Montgomery-21B
1273,Montgomery-2A
1274,Montgomery-2B
1275,Montgomery-3
1276,Montgomery-4A
1277,Montgomery-4B
1278,Montgomery-5A
1279,Montgomery-5B
1280,Montgomery-6A
1281,Montgomery-6B
1282,Montgomery-7
1283,Montgomery-8A
1284,Montgomery-8B
1285,Montgomery-9
1287,Moore-2 Moore County High School
1288,Moore-3 Moore County Building
1291,Morgan-Burrville 5-2
1292,Morgan-Chestnut Ridge 4-3
1293,Morgan-Coalfield 1-1
1294,Morgan-Deer Lodge 4-2
1295,Morgan-Kelly's 6-1
1296,Morgan-Lancing 4-1
1297,Morgan-Mossy Grove 6-3
1298,Morgan-Oakdale 2-2
1299,Morgan-Oakdale High 2-1
1300,Morgan-Petros 6-2
1301,Morgan-Sunbright 5-1
1302,Morgan-Wartburg 3-1
1304,Obion-2-1 Eddie Cox Sr. Center
1312,Obion-6-1 Troy Senior Center
1313,Obion-6-2 Obion Senior Center
1314,Obion-7-2 Obion Co. Library
1316,Overton-2 Allons
1317,Overton-2 Monroe
1318,Overton-3 Poteet
1319,Overton-3 Rushing Springs
1320,Overton-3 Wilson
1321,Overton-4 Rickman
1322,Overton-5 Fairgrounds
1323,Overton-5 Hilham
1324,Perry-101 Cedar Creek
1325,Perry-102 Marsh Creek
1326,Perry-201 Pineview
1327,Perry-202 Pope
1328,Perry-301 Coon Creek
1329,Perry-302 Flatwoods
1330,Perry-401 Brush Creek
1331,Perry-403 Lobelville Elem. School
1332,Perry-501 Perry Co. Courthouse
1333,Perry-601 Lobelville City Hall
1334,Pickett-Barnes Ridge
1335,Pickett-Bolestown
1336,Pickett-Boom
1337,Pickett-Chanute
1338,Pickett-Community Center
1339,Pickett-High School
1340,Pickett-Moodyville
1341,Pickett-Oak Hill
1342,Pickett-Travisville
1343,Polk-1 Delano Lions Club
1344,Polk-1A Polk County High School
1345,Polk-1B Chilhowee Middle Sch. Gym
1346,Polk-2 Greasy Creek Comm. Club
1347,Polk-2A Springtown Firehall
1348,Polk-2C South Polk School
1349,Polk-2D Shiloh Baptist
1350,Polk-3 Community Center
1351,Polk-3B Turtletown
1352,Putnam-01A Capshaw
1353,Putnam-02A Northeast Elementary
1354,Putnam-03A University
1355,Putnam-04A Burks Middle School
1356,Putnam-04B Monterey High School
1357,Putnam-04C Poplar Grove Community Center
1358,Putnam-05A Cookeville Community Center
1359,Putnam-05C Prescott South
1360,Putnam-05F Dry Valley
1361,Putnam-06A Cane Creek
1362,Putnam-07A Burgess Falls
1363,Putnam-07D Twin Oak
1364,Putnam-08D Boma
1365,Putnam-08E Buffalo Valley
1366,Putnam-08G Upperman
1367,Putnam-09B Double Springs
1371,Putnam-11B Cookeville High School
1395,Roane-Johnson School House
1410,Robertson-1-1 East Robertson Elementary School
1411,Robertson-10-1 South Haven Christian School
