,COUNTY,NAME
461,Davidson,1-Apr
462,Davidson,2-Apr
463,Davidson,3-Apr
464,Davidson,4-Apr
473,Davidson,1-May
474,Davidson,2-May
475,Davidson,3-May
476,Davidson,4-May
671,Davidson,4-Dec
670,Davidson,17-7
669,Davidson,17-6
668,Davidson,17-5
730,Davidson,15-1
731,Davidson,18-1
343,Davidson,4-Jul
498,Davidson,4-Feb
499,Davidson,5-Feb
500,Davidson,20-1
501,Davidson,20-2
633,Davidson,17-3
704,Davidson,14-2
705,Davidson,14-3
340,Davidson,1-Jul
65,Davidson,6-Oct
66,Davidson,1-Nov
304,Davidson,2-Aug
303,Davidson,3-Jun
302,Davidson,2-Jun
301,Davidson,1-Jun
67,Davidson,2-Nov
100,Davidson,2-Dec
161,Davidson,4-Jan
144,Davidson,1-Dec
341,Davidson,2-Jul
562,Davidson,19-1
563,Davidson,19-2
293,Davidson,5-May
564,Davidson,19-3
573,Davidson,1-Feb
565,Davidson,19-4
101,Davidson,3-Dec
572,Davidson,19-6
571,Davidson,19-5
102,Davidson,1-Jan
103,Davidson,2-Jan
104,Davidson,3-Jan
127,Davidson,2-Oct
128,Davidson,3-Oct
143,Davidson,4-Nov
609,Davidson,15-2
162,Davidson,5-Jan
142,Davidson,3-Nov
324,Davidson,1-Sep
612,Davidson,15-5
64,Davidson,5-Oct
611,Davidson,15-4
163,Davidson,1-Oct
26,Davidson,4-Oct
336,Davidson,4-Mar
756,Davidson,18-4
757,Davidson,18-5
758,Davidson,2-Feb
759,Davidson,3-Feb
610,Davidson,15-3
313,Davidson,4-Aug
312,Davidson,3-Aug
337,Davidson,5-Mar
338,Davidson,6-Mar
339,Davidson,5-Jun
523,Davidson,20-3
524,Davidson,21-1
327,Davidson,4-Jun
325,Davidson,2-Sep
689,Davidson,24-1
682,Davidson,23-3
683,Davidson,23-4
438,Davidson,34-5
692,Davidson,24-4
691,Davidson,24-3
690,Davidson,24-2
551,Davidson,22-1
437,Davidson,34-3
684,Davidson,23-5
603,Davidson,25-3
457,Davidson,35-3
613,Davidson,26-2
614,Davidson,26-3
615,Davidson,26-4
622,Davidson,27-1
623,Davidson,27-2
624,Davidson,27-3
525,Davidson,21-2
605,Davidson,26-1
635,Davidson,22-2
604,Davidson,25-4
636,Davidson,22-3
591,Davidson,25-2
590,Davidson,25-1
637,Davidson,22-4
589,Davidson,24-6
574,Davidson,24-5
672,Davidson,23-1
673,Davidson,23-2
458,Davidson,35-4
456,Davidson,35-2
256,Davidson,31-4
549,Davidson,21-3
708,Davidson,28-1
550,Davidson,21-4
376,Davidson,31-2
355,Davidson,30-1
374,Davidson,30-4
1706,Davidson,33-1
709,Davidson,28-2
356,Davidson,30-2
414,Davidson,29-2
415,Davidson,29-3
416,Davidson,29-4
388,Davidson,29-1
387,Davidson,28-3
375,Davidson,31-1
258,Davidson,32-2
386,Davidson,31-3
292,Davidson,34-2
275,Davidson,32-3
276,Davidson,32-4
277,Davidson,33-3
278,Davidson,34-4
257,Davidson,32-1
287,Davidson,33-2
279,Davidson,35-1
291,Davidson,34-1
357,Davidson,30-3
288,Davidson,33-4
326,Davidson,3-Sep
366,Decatur,6-1 Parsons
378,Decatur,3-1 Beacon
363,Decatur,3-2 Decaturville
362,Decatur,4-1 Decaturville
361,Decatur,2-2 Scotts Hill
377,Decatur,9-1 Beacon
371,Decatur,7-2 Perryville
364,Decatur,1-1 Dunbar
367,Decatur,7-1 Jeanette
368,Decatur,8-1 Parsons
369,Decatur,9-2 Hydro
370,Decatur,2-1 Liberty
365,Decatur,5-1 Parsons
396,Dekalb,6-2 Keltonburg
394,Dekalb,4-2 Rock Castle
393,Dekalb,2-3 Snows Hill
395,Dekalb,5-1 Johnson Chapel
391,Dekalb,1-2 Temperence Hall
373,Dekalb,2-1 Liberty
392,Dekalb,2-2 Dowelltown
390,Dekalb,1-1 Alexandria
389,Dekalb,7-1 Church of Christ Annex
382,Dekalb,5-2 County Complex
381,Dekalb,4-3 Courthouse
380,Dekalb,6-3 Blue Springs
379,Dekalb,3-1 Church of God
397,Dekalb,6-1 Belk
372,Dekalb,1-3 Edgar Evins State Park
402,Dickson,1-2 Sylvia Baptist Church
400,Dickson,12-2 Greater Things Baptist Church
401,Dickson,10-1 First Baptist Church
403,Dickson,4-1 Jackson Chapel
404,Dickson,2-2 TN City Fire Hall
405,Dickson,12-1 White Bluff Community Center
406,Dickson,9-1 Restoration Church
407,Dickson,3-2 Vanleer Town Hall
419,Dickson,8-1 Senior Citizens
420,Dickson,1-1 Collier House
421,Dickson,6-2 Porter Community Center
439,Dickson,11-1 Tennsco Community Center
422,Dickson,6-1 Burns Church of Christ
423,Dickson,2-1 Eno Community Center
424,Dickson,5-1 White Bluff Civic Center
399,Dickson,3-1 Calvary Chapel
398,Dickson,7-1 Pomona Baptist Church
427,Dyer,J - N Dyersburg
426,Dyer,D1 - Millsfield
434,Dyer,I1 - Community Center
441,Dyer,C1 - Tatumville
442,Dyer,A1 - Bonicord
433,Dyer,H - E. Dyersburg
432,Dyer,A2 - Fowlkes
431,Dyer,E1 - Finley
430,Dyer,B - Newbern
429,Dyer,D2 - Bogota
428,Dyer,E2 - Lenox
459,Dyer,C2 - Trimble
460,Dyer,F - Dyer County Central
465,Dyer,C3 - Roellen
425,Dyer,I2 - Hurricane Hill
440,Dyer,G - Courthouse
468,Fayette,8 Elba
469,Fayette,1 Somerville
470,Fayette,4 Braden
471,Fayette,14 Parks
472,Fayette,13 Moscow
477,Fayette,9 Piperton
478,Fayette,3 Garnett
479,Fayette,15 La Grange
480,Fayette,5 Gallaway
481,Fayette,6 Oakland
482,Fayette,7 Hickory Withe
483,Fayette,2 Fayette Corner
484,Fayette,11 Macon
467,Fayette,12 Williston
466,Fayette,10 Rossville
1803,Fentress,Banner
1781,Fentress,West Fentress
1793,Fentress,Pine Haven
1792,Fentress,Crossroad
1791,Fentress,Allardt
1786,Fentress,Tinchtown
1785,Fentress,Clarkrange
1782,Fentress,Grimsley
486,Fentress,East Jamestown
1780,Fentress,Community Center
1779,Fentress,Armathwaite
1794,Fentress,Courthouse
485,Fentress,Pall Mall
259,Franklin,5-3 Sherwood
260,Franklin,7-1 North Lake
270,Franklin,3-1 Broadview
273,Franklin,2-1 Clark Memorial
272,Franklin,5-1 Keith Springs
271,Franklin,3-2 Huntland
269,Franklin,6-1 Alto/Oak Grove
268,Franklin,8-2 Estill Springs
267,Franklin,7-2 Winchester Springs & Center Grove
266,Franklin,3-3 Walnut Grove
274,Franklin,4-3 Liberty
264,Franklin,6-2 Capitol Hill
265,Franklin,4-2 Cowan
487,Franklin,4-1 Belvidere
488,Franklin,5-2 Sewanee
262,Franklin,8-1 Decherd
261,Franklin,1-1 FC Annex
263,Franklin,6-3 UTSI
310,Gibson,08 St. James Baptist Church
311,Gibson,07 Humboldt Park
285,Gibson,37 Good Luck
314,Gibson,04 Gibson
315,Gibson,24 Moore's Chapel
309,Gibson,13 Fruitland
308,Gibson,40 Rutherford
307,Gibson,17 Yorkville
286,Gibson,32 Bradford
306,Gibson,39 Currie
300,Gibson,20 CourtHouse
289,Gibson,30 Milan Assembly/God
316,Gibson,01 Medina
290,Gibson,29 Milan Polk Clark
294,Gibson,31 Milan Muni Bldg
295,Gibson,09 Humboldt Lane Chapel
296,Gibson,27 Skullbone
297,Gibson,34 Laneview
305,Gibson,38 Dyer
284,Gibson,26 Union Central
299,Gibson,12 Edison
318,Gibson,10 Humboldt High School
280,Gibson,06 Humboldt Ch of Chr
317,Gibson,18 Kenton
282,Gibson,22 Agri Plex
298,Gibson,14 Brazil
281,Gibson,02 Sitka Community Center
283,Gibson,28 Cumberland Presbyterian Church
321,Giles,2A Minor Hill
329,Giles,4A Lynnville
320,Giles,2B Airport
319,Giles,1B Prospect
330,Giles,4B Odds Fellows Hall
331,Giles,5A TCAT
332,Giles,5B Agri-Park
333,Giles,6A MMC Martin Methodist College
334,Giles,6B BMS Bridgeforth Middle School
335,Giles,7A GCHS Giles County High School
344,Giles,7B Recreation Center
323,Giles,3A Richland Trace Market
328,Giles,3B Campbellsville
322,Giles,1A Ardmore
349,Grainger,1-2 Old Central Point School
345,Grainger,3-1 Blaine City Hall
347,Grainger,1-1 Rutledge Middle School
348,Grainger,4-2 Washburn Ele. School
350,Grainger,5-1 Bean Station Library
346,Grainger,2-2 Grainger High School
352,Grainger,2-1 Bean Station Ele. School
353,Grainger,3-2 Indian Ridge Comm. Blg.
354,Grainger,5-2 Senior Citizens Center
351,Grainger,4-1 Thorn Hill Comm. Blg.
1950,Greene,Baileyton
1942,Greene,Debusk
1941,Greene,Mosheim
1940,Greene,Ottway
1939,Greene,Nolachuckey
1938,Greene,Tusculum View
1908,Greene,Camp Creek
1949,Greene,Chuckey Doak
1903,Greene,Doak
1902,Greene,High School
1901,Greene,Court House
1951,Greene,South Greene
1953,Greene,Chuckey
1955,Greene,McDonald
1943,Greene,Glenwood
1944,Greene,Middle School
1904,Greene,West Pines
408,Grundy,Collins
385,Grundy,Coalmont
384,Grundy,Palmer
383,Grundy,Central
411,Grundy,Tracy
410,Grundy,Monteagle
1559,Grundy,Pelham
1558,Grundy,Beersheba
409,Grundy,Gruetli
1557,Grundy,Altamont
435,Hamblen,1-Apr
436,Hamblen,1-Jan
455,Hamblen,14-1
413,Hamblen,1-Nov
454,Hamblen,13-1
451,Hamblen,1-Oct
452,Hamblen,2-Oct
450,Hamblen,2-Sep
449,Hamblen,1-Sep
448,Hamblen,1-Aug
447,Hamblen,1-Jul
453,Hamblen,1-Dec
445,Hamblen,1-May
446,Hamblen,1-Jun
443,Hamblen,1-Feb
444,Hamblen,1-Mar
412,Hamblen,2-Nov
1684,Hamilton,Harrison 5
1685,Hamilton,Harrison 4
1686,Hamilton,Collegedale 3
1683,Hamilton,Snowhill 1
1682,Hamilton,Meadowview
1617,Hamilton,East Lake
1681,Hamilton,Summit 3
1618,Hamilton,Eastside 1
1688,Hamilton,Harrison 1
1823,Hamilton,Lookout Valley 2
1822,Hamilton,Valdeau 2
1819,Hamilton,Mountain Creek 2
1816,Hamilton,Apison 1
1815,Hamilton,Snowhill 2
1814,Hamilton,Ooltewah 6
1813,Hamilton,Ooltewah 5
1812,Hamilton,Ooltewah 4
1810,Hamilton,Birchwood
1809,Hamilton,Sale Creek
1704,Hamilton,Lookout Mountain
1703,Hamilton,St Elmo 1
1701,Hamilton,Signal Mountain 2
1700,Hamilton,Walden
1699,Hamilton,Valdeau 1
1698,Hamilton,Harrison 2
1697,Hamilton,Harrison 7
1696,Hamilton,Harrison 3
1695,Hamilton,Northwoods 3
1694,Hamilton,Tyner 3
1693,Hamilton,Summit 2
1692,Hamilton,Downtown 3
1691,Hamilton,Murray Hills 2
1690,Hamilton,Alton Park 3
1689,Hamilton,Harrison 6
1687,Hamilton,Collegedale 4
1679,Hamilton,Collegedale 2
1680,Hamilton,Ooltewah 3
1677,Hamilton,Apison 2
1641,Hamilton,East Ridge 3
1642,Hamilton,Brainerd
1643,Hamilton,East Ridge 4
1644,Hamilton,Brainerd Hills
1645,Hamilton,Concord 1
1646,Hamilton,Concord 2
1647,Hamilton,Concord 3
1648,Hamilton,Concord 5
1649,Hamilton,Glenwood
1604,Hamilton,Lookout Valley 1
1603,Hamilton,Mountain Creek 3
1602,Hamilton,Stuart Heights
1650,Hamilton,Eastdale
1651,Hamilton,Ridgeside
1652,Hamilton,Eastgate 1
1653,Hamilton,Eastgate 2
1654,Hamilton,Woodmore 1
1655,Hamilton,Woodmore 2
1656,Hamilton,Airport
1657,Hamilton,East Chattanooga 2
1658,Hamilton,Dalewood
1659,Hamilton,Kingspoint 1
1678,Hamilton,Apison 3
1601,Hamilton,Lupton City
1600,Hamilton,Red Bank 3
1599,Hamilton,Fairmount 2
1661,Hamilton,Lake Hills
1662,Hamilton,Tyner 1
1663,Hamilton,Summit 4
1640,Hamilton,East Ridge 2
1598,Hamilton,Mountain Creek 1
1639,Hamilton,East Ridge 1
1637,Hamilton,Middle Valley 2
1619,Hamilton,Eastside 2
1620,Hamilton,Ridgedale 2
1616,Hamilton,Alton Park 1
1615,Hamilton,Alton Park 2
1614,Hamilton,Red Bank 2
1621,Hamilton,Ridgedale 1
1613,Hamilton,Red Bank 1
1623,Hamilton,Avondale
1624,Hamilton,East Chattanooga 1
1625,Hamilton,Amnicola
1626,Hamilton,Kingspoint 2
1627,Hamilton,Northgate 1
1628,Hamilton,Northgate 2
1629,Hamilton,DuPont
1630,Hamilton,Hixson 3
1612,Hamilton,North Chattanooga 1
1611,Hamilton,North Chattanooga 2
1610,Hamilton,Moccasin Bend
1609,Hamilton,Downtown 1
1631,Hamilton,Hixson 2
1632,Hamilton,Hixson 1
1633,Hamilton,Pleasant Grove 2
1634,Hamilton,Pleasant Grove 1
1635,Hamilton,Ganns
1608,Hamilton,Courthouse 1
1607,Hamilton,Courthouse 2
1606,Hamilton,Downtown 2
1605,Hamilton,St Elmo 2
