,COUNTY,NAME
433,23,H - E. Dyersburg
432,23,A2 - Fowlkes
431,23,E1 - Finley
430,23,B - Newbern
429,23,D2 - Bogota
428,23,E2 - Lenox
459,23,C2 - Trimble
460,23,F - Dyer County Central
465,23,C3 - Roellen
425,23,I2 - Hurricane Hill
440,23,G - Courthouse
468,24,8 Elba
469,24,1 Somerville
470,24,4 Braden
471,24,14 Parks
472,24,13 Moscow
477,24,9 Piperton
478,24,3 Garnett
479,24,15 La Grange
480,24,5 Gallaway
481,24,6 Oakland
482,24,7 Hickory Withe
483,24,2 Fayette Corner
484,24,11 Macon
467,24,12 Williston
466,24,10 Rossville
1803,25,Banner
1781,25,West Fentress
1793,25,Pine Haven
1792,25,Crossroad
1791,25,Allardt
1786,25,Tinchtown
1785,25,Clarkrange
1782,25,Grimsley
486,25,East Jamestown
1780,25,Community Center
1779,25,Armathwaite
1794,25,Courthouse
485,25,Pall Mall
259,26,5-3 Sherwood
260,26,7-1 North Lake
270,26,3-1 Broadview
273,26,2-1 Clark Memorial
272,26,5-1 Keith Springs
271,26,3-2 Huntland
269,26,6-1 Alto/Oak Grove
268,26,8-2 Estill Springs
267,26,7-2 Winchester Springs & Center Grove
266,26,3-3 Walnut Grove
274,26,4-3 Liberty
264,26,6-2 Capitol Hill
265,26,4-2 Cowan
487,26,4-1 Belvidere
488,26,5-2 Sewanee
262,26,8-1 Decherd
261,26,1-1 FC Annex
263,26,6-3 UTSI
310,27,08 St. James Baptist Church
311,27,07 Humboldt Park
285,27,37 Good Luck
314,27,04 Gibson
315,27,24 Moore's Chapel
309,27,13 Fruitland
308,27,40 Rutherford
307,27,17 Yorkville
286,27,32 Bradford
306,27,39 Currie
300,27,20 CourtHouse
289,27,30 Milan Assembly/God
316,27,01 Medina
290,27,29 Milan Polk Clark
294,27,31 Milan Muni Bldg
295,27,09 Humboldt Lane Chapel
296,27,27 Skullbone
297,27,34 Laneview
305,27,38 Dyer
284,27,26 Union Central
299,27,12 Edison
318,27,10 Humboldt High School
280,27,06 Humboldt Ch of Chr
317,27,18 Kenton
282,27,22 Agri Plex
298,27,14 Brazil
281,27,02 Sitka Community Center
283,27,28 Cumberland Presbyterian Church
321,28,2A Minor Hill
329,28,4A Lynnville
320,28,2B Airport
319,28,1B Prospect
330,28,4B Odds Fellows Hall
331,28,5A TCAT
332,28,5B Agri-Park
333,28,6A MMC Martin Methodist College
334,28,6B BMS Bridgeforth Middle School
335,28,7A GCHS Giles County High School
344,28,7B Recreation Center
323,28,3A Richland Trace Market
328,28,3B Campbellsville
322,28,1A Ardmore
349,29,1-2 Old Central Point School
345,29,3-1 Blaine City Hall
347,29,1-1 Rutledge Middle School
348,29,4-2 Washburn Ele. School
350,29,5-1 Bean Station Library
346,29,2-2 Grainger High School
352,29,2-1 Bean Station Ele. School
353,29,3-2 Indian Ridge Comm. Blg.
354,29,5-2 Senior Citizens Center
351,29,4-1 Thorn Hill Comm. Blg.
1950,30,Baileyton
1942,30,Debusk
1941,30,Mosheim
1940,30,Ottway
1939,30,Nolachuckey
1938,30,Tusculum View
1908,30,Camp Creek
1949,30,Chuckey Doak
1903,30,Doak
1902,30,High School
1901,30,Court House
