,COUNTY,NAME
Greene,30,Glenwood
Greene,30,Debusk
Greene,30,West Pines
Greene,30,Doak
Greene,30,High School
Greene,30,Court House
Greene,30,Camp Creek
Grundy,31,Central
450,31,Pelham
451,31,Altamont
452,31,Palmer
453,31,Coalmont
476,31,Cross Roads
477,31,Collins
478,31,Hubbard's Cove
479,31,Gruetli
480,31,Tarlton
481,31,Beersheba
482,31,Tracy
1832,31,Monteagle
483,32,2-Nov
484,32,1-Nov
506,32,1-Apr
507,32,1-Jan
514,32,1-Feb
515,32,1-Mar
516,32,1-May
517,32,1-Jun
518,32,1-Jul
519,32,1-Aug
520,32,1-Sep
521,32,2-Sep
522,32,1-Oct
523,32,2-Oct
524,32,1-Dec
525,32,13-1
526,32,14-1
1833,33,Courthouse 1
1834,33,Collegedale 1
1835,33,Eastgate 2
1836,33,Courthouse 2
1837,33,Soddy Daisy 2
1838,33,Downtown 2
1839,33,Woodmore 2
1840,33,Ganns
1841,33,Pleasant Grove 1
1842,33,Lakesite
1843,33,Harrison 5
1844,33,Riverview
1845,33,Collegedale 2
1846,33,Mountain Creek 1
1847,33,Red Bank 3
1848,33,Murray Hills 1
1849,33,Lake Hills
1850,33,East Ridge 2
1851,33,Kingspoint 3
1852,33,Eastgate 1
1853,33,North Chattanooga 1
1854,33,East Chattanooga 1
1855,33,East Ridge 1
1856,33,Soddy Daisy 3
1857,33,Concord 5
1858,33,DuPont
1859,33,Eastside 2
1860,33,Bakewell 2
1861,33,Concord 7
1862,33,Northwoods 2
1863,33,Soddy Daisy 1
1864,33,Signal Mountain 1
1865,33,Ooltewah 6
1866,33,Ooltewah 4
1867,33,Ooltewah 5
1868,33,Flat Top Mountain
1869,33,Bakewell 1
1870,33,Fairmount
1871,33,Mowbray
1872,33,Harrison 6
1873,33,Middle Valley 1
1874,33,Dalewood
1875,33,Tyner 1
1876,33,Mountain Creek 2
1877,33,Valdeau
1878,33,Meadowview
1879,33,Concord 3
1880,33,East Ridge 4
1881,33,East Brainerd 2
1882,33,East Lake
1883,33,Westview 2
1884,33,St Elmo 2
1885,33,Concord 4
1886,33,Lookout Valley 1
1887,33,St Elmo 1
1888,33,Lookout Valley 2
1889,33,Apison 1
1890,33,Sale Creek
1891,33,Birchwood
1892,33,Missionary Ridge
1893,33,East Ridge 3
1894,33,Alton Park 1
1895,33,Lookout Mountain
1896,33,Eastdale
1897,33,Murray Hills 2
1898,33,Concord 6
1899,33,Dallas 1
1900,33,Snowhill 2
1901,33,Brainerd
1902,33,Brainerd Hills
1903,33,Concord 2
1904,33,Concord 1
1920,33,Soddy Daisy 4
1921,33,Northgate 2
1922,33,Red Bank 2
1923,33,Moccasin Bend
1924,33,Ridgeside
1925,33,Falling Water
1926,33,Glenwood
1927,33,Northgate 1
1933,33,Collegedale 4
1936,33,Woodmore 1
1937,33,Apison 2
1938,33,Red Bank 1
1939,33,Avondale
1940,33,North Chattanooga 2
1941,33,Signal Mountain 2
1942,33,Mountain Creek 3
1943,33,Harrison 4
1944,33,Ridgedale 2
1945,33,Middle Valley 2
1946,33,East Chattanooga 2
1947,33,Bonny Oaks
1948,33,Northwoods 1
1949,33,Kingspoint 1
1950,33,Hixson 1
1951,33,Ooltewah 2
1952,33,Stuart Heights
1953,33,Airport
1954,33,Eastside 1
1955,33,Apison 3
1956,33,Westview 3
1957,33,Summit 2
1958,33,Westview 1
1959,33,Summit 3
1960,33,Pleasant Grove 2
1961,33,Harrison 3
1962,33,Downtown 1
1963,33,Collegedale 6
1964,33,Lupton City
1965,33,Ridgedale 1
1966,33,Summit 4
1967,33,Collegedale 3
1968,33,Amnicola
1969,33,Alton Park 2
1970,33,Summit 1
1971,33,Walden
1972,33,Tyner 2
1973,33,Harrison 2
1974,33,Kingspoint 2
1975,33,Collegedale 5
1976,33,Ooltewah 3
1977,33,Ooltewah 1
1978,33,East Brainerd 1
1979,33,Snowhill 1
1980,33,Hixson 2
1981,33,Bushtown
1982,33,Harrison 1
1983,33,Hixson 3
1984,33,Dallas 2
718,35,5th
719,35,3rd
720,35,2nd
731,35,4th
732,35,6th
733,35,7th
734,35,1st
735,36,Middleton
736,36,Toone
737,36,Whiteville
738,36,Saulsbury
739,36,Dixie Hills
740,36,Silerton
741,36,West Bolivar
742,36,Hornsby
743,36,Grand Junction
744,36,Bolivar
745,36,Hickory Valley
746,36,Pocahontas
747,36,Lacy
748,37,8 North
749,37,2 Nixon
750,37,9 Library
751,37,7 Walnut Grove
752,37,6 Rhodes
753,37,4 Crump
754,37,5 Morris Chapel
770,37,5 Saltillo
771,37,1 Olivet
772,37,10 Fairground
773,37,3 Counce
774,37,4 Shiloh
775,37,7 Whites
776,37,3 Southside
