,County,Precinct,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREISMI,G16PREIKEN,G16PREIFUE,G16PREOWRI,COUNTYFP
102,Bradley,6-1 Valley View,1413,179.0,29.0,9.0,2.0,0.0,5.0,6.0,011
103,Bradley,6-2 Blue Springs,1672,270.0,49.0,9.0,9.0,2.0,7.0,5.0,011
104,Bradley,6-3 Waterville,886,193.0,26.0,5.0,3.0,4.0,0.0,5.0,011
105,Bradley,6-4 Black Fox,819,123.0,32.0,10.0,9.0,1.0,1.0,0.0,011
106,Bradley,7-1 Stuart,2316,820.0,109.0,22.0,16.0,4.0,7.0,14.0,011
107,Bradley,7-2 Cleveland High,1471,481.0,69.0,14.0,7.0,3.0,4.0,8.0,011
108,Bradley,Early Voting - Write-Ins,0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,011
109,Campbell,1-1 Alder Springs,345,65.0,6.0,2.0,0.0,0.0,1.0,0.0,013
110,Campbell,1-2 Demory,507,109.0,13.0,6.0,0.0,1.0,1.0,0.0,013
111,Campbell,1-3 Pinecrest,205,66.0,5.0,0.0,2.0,2.0,0.0,0.0,013
112,Campbell,1-4 Valley View,1019,199.0,18.0,4.0,6.0,2.0,1.0,3.0,013
113,Campbell,1-5 Well Springs,234,44.0,3.0,0.0,0.0,0.0,0.0,0.0,013
114,Campbell,2-1 College Hill,209,55.0,5.0,2.0,0.0,0.0,1.0,0.0,013
115,Campbell,2-2 East LaFollette,542,185.0,13.0,8.0,7.0,1.0,5.0,0.0,013
116,Campbell,2-3 LaFollette ES,874,190.0,23.0,0.0,3.0,0.0,4.0,3.0,013
117,Campbell,3-1 CCHS,575,98.0,13.0,1.0,3.0,1.0,1.0,2.0,013
118,Campbell,3-2 Jacksboro Sta,1054,207.0,30.0,2.0,3.0,1.0,3.0,1.0,013
119,Campbell,3-3 West LaFollette,385,113.0,8.0,3.0,1.0,3.0,3.0,0.0,013
120,Campbell,4-1 Caryville,928,199.0,32.0,1.0,5.0,5.0,2.0,2.0,013
121,Campbell,4-2 Clinchmore,31,10.0,0.0,0.0,0.0,0.0,0.0,0.0,013
122,Campbell,4-3 Jacksboro,836,168.0,27.0,2.0,5.0,1.0,4.0,1.0,013
123,Campbell,4-4 Ridgewood,497,132.0,16.0,3.0,4.0,1.0,4.0,1.0,013
124,Campbell,5-1 Elk Valley,227,25.0,4.0,3.0,2.0,0.0,0.0,3.0,013
125,Campbell,5-2 Habersham,376,53.0,9.0,0.0,1.0,2.0,0.0,0.0,013
126,Campbell,5-3 Jellico,610,215.0,16.0,4.0,0.0,2.0,1.0,1.0,013
127,Campbell,5-4 Newcomb,267,71.0,8.0,3.0,0.0,0.0,0.0,1.0,013
128,Campbell,5-5 White Oak,149,44.0,2.0,1.0,1.0,3.0,1.0,0.0,013
129,Cannon,1-1 Westside,1003,231.0,25.0,3.0,4.0,2.0,0.0,2.0,015
130,Cannon,2-1 Auburntown,302,88.0,5.0,2.0,0.0,0.0,0.0,0.0,015
131,Cannon,2-2 Gassaway,144,67.0,3.0,3.0,1.0,0.0,0.0,0.0,015
132,Cannon,2-3 Pleasant Ridge,218,66.0,9.0,4.0,0.0,0.0,0.0,0.0,015
133,Cannon,2-4 Short Mountain,157,63.0,3.0,6.0,1.0,0.0,2.0,0.0,015
134,Cannon,3-2 Woodland,797,153.0,23.0,5.0,3.0,1.0,2.0,3.0,015
135,Cannon,4-1 Eastside,667,160.0,10.0,2.0,5.0,1.0,1.0,1.0,015
136,Cannon,4-2 Short Mountain,205,59.0,8.0,0.0,0.0,1.0,0.0,0.0,015
137,Cannon,5-1 Woodbury,514,240.0,20.0,4.0,4.0,2.0,3.0,0.0,015
138,Cannon,Early Voting - Write-Ins,0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,015
139,Carroll,Lavinia,280,42.0,6.0,0.0,0.0,1.0,0.0,0.0,017
140,Carroll,Trezevant,466,138.0,15.0,1.0,1.0,1.0,1.0,0.0,017
141,Carroll,McLemoresville,270,82.0,8.0,3.0,1.0,0.0,2.0,0.0,017
142,Carroll,Cedar Grove,438,103.0,5.0,1.0,3.0,4.0,1.0,1.0,017
143,Carroll,Clarksburg,591,85.0,9.0,5.0,1.0,2.0,0.0,2.0,017
144,Carroll,Macedonia,146,27.0,6.0,1.0,0.0,0.0,0.0,0.0,017
145,Carroll,Civic Center,1182,400.0,36.0,4.0,0.0,4.0,3.0,3.0,017
