,NAME
518,H - E. Dyersburg
519,I - Community Center
520,4-1
521,1-1
522,34-3
523,34-5
524,11-1 Tennsco Community Center
525,G - Courthouse
526,C-Tatumville
527,A - Bonicord
528,2-1
529,3-1
530,5-1
531,6-1
532,7-1
533,8-1
534,9-1
535,9-2
536,10-1
537,10-2
538,12-1
539,13-1
540,14-1
541,35-2
542,35-3
543,35-4
544,C - Trimble
545,F - Dyer County Central
546,4-1
547,4-2
548,4-3
549,4-4
550,C - Roellen
551,10 Rossville
552,12 Williston
553,8 Elba
554,1 Somerville
555,4 Braden
556,14 Parks
557,13 Moscow
558,5-1
559,5-2
560,5-3
561,5-4
562,9 Piperton
563,3 Garnett
564,15 La Grange
565,5 Gallaway
566,6 Oakland
567,7 Hickory White
568,2 Fayette Corner
569,11 Macon
570,Pine Haven
571,Crossroad
572,Allardt
573,Grimsley
574,West Fentress
575,Community Center
576,Pall Mall
577,East Jamestown
578,Armathwaite
579,Banner
580,Tinchtown
581,Clarkrange
582,4-1 Belvidere
583,5-2 Sewanee
584,33
585,74
586,61
587,59
588,72
589,56
590,58-S
591,73
592,19-W
593,2-4
594,2-5
595,20-1
596,20-2
597,3-2 Springville
598,02-3 East Bank
599,07-4 Coble
600,06-1 Justice Center
601,07-1 Nunnelly
602,01-2 Pinewood
603,03-1 East Community Center
604,07-2 Pleasantville
605,05-1 Mt. Pleasant
606,Erin Elementary School
607,Erin City Hall
608,Arlington Sr. Citizens Cntr
609,Houston Co. Middle School
610,Griffin Chapel Church
611,Stewart Community Center
612,5-6 Wildwood
613,1-1 Jera Building
614,58-N
615,69-E
616,70-E
617,23
618,20-3
619,21-1
620,21-2
621,Armory
622,3-4 MLEC
623,2-3 WFCN
624,4-5 Safe Room
625,6-7 South McEwen
626,7-8 CCC
627,1-2 Compassion Church
628,5-2
629,1-2
630,6-2
631,4-2
632,6-1
633,2-2
634,3-2
635,4-1
636,5-1
637,1-1
638,3-1
639,2-1
640,7th New Market City Hall
641,3rd White Pine School
642,2nd Piedmont Elementary School
643,4th Jefferson Elementary School
644,65-E
645,69-W
646,21-3
647,21-4
648,22-1
649,10th Jefferson City Fire Dept
650,9th Talbott Elementary School
651,8-2 Old Swannsylvania School
652,5th Jefferson Middle School
653,6th Rush Strong School
