,Precinct
629,4-2
630,5-1
631,5-2
632,1 Baileyton
633,4 Camp Creek
634,2 Chuckey Doak
635,4 Courthouse
636,2 Chuckey
637,5 Debusk
638,3 Doak
639,7 Glenwood
640,7 High School
641,6 McDonald
642,6 Mosheim
643,5 Middle School
644,5 Nolachuckey
645,1 Ottway
646,5 South Greene
647,3 Tusculum View
648,1 West Pines
649,Altamont
650,Beersheba Springs
651,Hubbard's Cove
652,Tarlton
653,Central
654,Collins
655,Cross Roads
656,Pelham
657,Coalmont
658,Gruetli-Laager
659,Palmer
660,Monteagle
661,Tracy City
662,01-1
663,02-1
664,03-1
665,04-1
666,05-1
667,06-1
668,07-1
669,08-1
670,09-1
671,09-2
672,10-1
673,10-2
674,11-1
675,11-2
676,12-1
677,13-1
678,14-1
679,175 Airport
680,212 Alton Park 1
681,214 Alton Park 2
682,003 Amnicola
683,050 Apison 1
684,118 Apison 2
685,216 Apison 3
686,004 Avondale
687,184 Bakewell 1
688,183 Bakewell 2
689,051 Birchwood
690,005 Bonny Oaks
691,006 Brainerd
692,007 Brainerd Hills
693,008 Bushtown
694,052 Collegedale 1
695,122 Collegedale 2
696,167 Collegedale 3
697,204 Collegedale 4
698,217 Collegedale 5
699,220 Collegedale 6
700,012 Concord 1
701,093 Concord 2
702,141 Concord 3
703,181 Concord 4
704,177 Concord 5
705,178 Concord 6
706,206 Concord 7
707,208 Courthouse 1
708,196 Courthouse 2
709,014 Dalewood
710,185 Dallas 1
711,172 Dallas 2
712,199 Downtown 1
713,197 Downtown 2
714,189 DuPont
715,017 East Brainerd 1
716,104 East Brainerd 2
717,018 East Chattanooga 1
718,192 East Chattanooga 2
719,019 East Lake
720,053 East Ridge 1
721,054 East Ridge 2
722,055 East Ridge 3
723,056 East Ridge 4
724,195 Eastdale
725,094 Eastgate 1
726,095 Eastgate 2
727,209 Eastside 1
728,132 Eastside 2
729,067 Fairmount
730,187 Falling Water
731,069 Flat Top Mountain
732,070 Ganns
733,023 Glenwood
734,058 Harrison 1
735,090 Harrison 2
736,098 Harrison 3
737,140 Harrison 4
738,180 Harrison 5
739,218 Harrison 6
740,025 Hixson 1
741,088 Hixson 2
742,101 Hixson 3
743,190 Kingspoint 1
744,191 Kingspoint 2
745,176 Kingspoint 3
746,028 Lake Hills
747,071 Lakesite
748,213 Lookout Mountain
749,048 Lookout Valley 1
750,092 Lookout Valley 2
751,029 Lupton City
752,059 Meadowview
753,188 Middle Valley 1
754,186 Middle Valley 2
755,031 Missionary Ridge
756,032 Moccasin Bend
757,033 Mountain Creek 1
758,106 Mountain Creek 2
759,215 Mountain Creek 3
760,074 Mowbray
761,171 Murray Hills 1
762,182 Murray Hills 2
763,035 North Chattanooga 1
764,139 North Chattanooga 2
765,194 Northgate 1
766,193 Northgate 2
767,037 Northwoods 1
768,038 Northwoods 2
769,060 Ooltewah 1
770,089 Ooltewah 2
771,143 Ooltewah 3
772,205 Ooltewah 4
773,169 Ooltewah 5
774,168 Ooltewah 6
775,075 Pleasant Grove 1
776,103 Pleasant Grove 2
777,076 Red Bank 1
778,077 Red Bank 2
779,078 Red Bank 3
780,210 Ridgedale 1
781,211 Ridgedale 2
782,061 Ridgeside
783,042 Riverview
784,080 Sale Creek
785,207 Signal Mountain 1
786,200 Signal Mountain 2
787,170 Snowhill 1
788,179 Snowhill 2
789,083 Soddy Daisy 1
790,084 Soddy Daisy 2
791,144 Soddy Daisy 3
792,219 Soddy Daisy 4
793,043 St. Elmo 1
794,137 St. Elmo 2
795,198 Stuart Heights
796,063 Summit 1
797,166 Summit 2
798,203 Summit 3
799,201 Summit 4
800,046 Tyner 1
801,097 Tyner 2
802,085 Valdeau
803,086 Walden
804,064 Westview 1
805,091 Westview 2
806,096 Westview 3
807,173 Woodmore 1
808,174 Woodmore 2
809,1st
810,2nd
811,3rd
812,4th
813,5th
814,6th
815,7th
816,West Bolivar
817,Bolivar
818,Whiteville
819,Hickory Valley
820,Grand Junction
821,Saulsbury
822,Middleton
823,Pocahontas
824,Lacy
825,Hornsby
826,Silerton
827,Dixie Hills
828,Toone
829,Airport 1-1
830,Olivet 1-2
831,Nixon 2-1
832,Walkers 2-2
833,Counce 3-1
834,Southside 3-2
835,Shiloh 4-1
836,Crump 4-2
837,Saltillo 5-1
838,Morris Chapel 5-2
839,Cerro Gordo 6-1
840,Rhodes 6-2
841,Olive Hill 6-3
842,Whites 7-1
843,Walnut Grove 7-2
844,North 8-1
845,Library 9-1
846,Fairground 10-1
847,6 Alum Well
848,1 Allandale Inside
849,1 Allandale Outside
850,7 Bulls Gap Inside
851,7 Bulls Gap Outside
852,3 Carter's Valley
853,6 Choptack
854,2 Church Hill Inside
855,2 Church Hill Outsid
856,6 Clinch
857,4 Dykes
858,4 Keplar
859,2 McPheeter's Bend
860,6 Mooresburg
861,1 Mount Carmel
862,5 Rogersville No In
863,4 Rogersville No Out
864,5 Rogersville So In
865,5 Rogersville So Out
866,7 St. Clair
867,7 Strahl/Cherokee
868,4 Surgoinsville In
869,4 Surgoinsville Out
870,4 Upper Beech
871,3 Wallace
872,3 Watterson
873,1-1
874,2-1
875,3-1
876,4-1
877,5-1
878,6-1
879,7-1
880,8-1
881,9-1
882,9-2
883,10-1
884,1-1 Bargerton
885,1-2 Beaver
886,3-3 Fire Station #4
887,3-4 Christian Chapel
888,5-5 TN Tech Center
889,4-6 Civic Center
890,3-7 Darden
891,6-8 Broad Street
892,7-9 Middleburg
893,3-10 Fire Sta #10
894,7-11 Reagan
895,7-12 Sardis
896,7-13 Scotts Hill
897,2-14 South Haven
898,2-15 Westover
899,1-1 Puryear
900,1-2 Cottage Grove
901,1-3 Buchanan
902,2-1 Henry
903,2-2 Mansfield
904,2-3 Oakland
905,3-1 Russwood
906,3-2 Springville
907,3-3 Jones Chapel
908,4-1 Grove
909,4-2 City Hall
910,5-1 Henry Co High
911,5-2 TN Tech Center
912,Early Voting - Write-Ins
913,1-1 Nunnelly
914,1-2 Pinewood
915,2-2 Fairfield
916,2-3 East Bank
917,3-1 East CC
918,4-1 Lake Benson
919,5-1 Mt. Pleasant
920,5-2 Middle School
921,5-3 Shady Grove
922,6-1 Justice Center
923,7-1 Nunnelly
924,7-2 Pleasantville
925,7-3 Brushy
926,7-4 Coble
927,Stewart
928,Tennessee Ridge
929,Erin
930,Arlington
931,Erin Elementary
932,Houston Co Middle
933,Griffins Chapel
934,1-1 Jera
935,1-2 Compassion Church
936,2-3 WFCN
937,3-4 MLEC
938,4-5 NJMC
939,5-6 Wildwood
940,6-7 South McEwen
941,7-8 North McEwen
942,1-1
943,1-2
944,2-1
945,2-2
946,3-1
947,3-2
948,4-1
949,4-2
950,5-1
951,5-2
952,6-1
953,6-2
954,Early Voting - Write-Ins
955,1 Dandridge ES
956,2 Piedmont
957,3 White Pine
958,4 Jefferson ES
959,5 Jefferson Middle
960,6 Rush Strong
961,7 New Market
962,8-1 Chestnut Hill
963,8-2 Swannsylvania
964,9 Talbott School
965,10 Jeff City Fire Dp
966,1A Laurel
967,1B Cold Springs
968,2 Forge/Shouns
969,3A Trade
970,3B Neva
971,4A Dry Run
972,4B Butler
973,5 Doe
974,6 Shady
975,7 City
976,Early Voting - Write-Ins
977,06 Green School
978,09 Eternal Life Harvest
979,10N Fort Sanders
980,10S Howard Baker Center
981,10W Howard Baker Center
982,11 Central UMC
983,12 Eastport
984,13 Fair Garden
985,14 Austin-East
986,15 John T. O'Connor
987,16 Larry Cox Sr Center
988,17 Christenberry
989,18 Lincoln Park
990,19E Thrive Lonsdale
991,19W Thrive Lonsdale
992,20 Beaumont
993,23 Westview
994,24Q Sequoyah Hills
995,25 South Knox CC
996,26 Dogwood
997,27 South Knox
998,29 Anderson
999,30 Sarah Moore Greene
1000,31 Chilhowee
1001,32 Spring Hill
1002,33 Richard Yoakley
1003,34 Fountain City Library
1004,35 Shannondale
1005,36 Gresham
1006,37 Inskip Elementary
1007,39 Inskip Rec Center
1008,40 Norwood
1009,41 Norwood
1010,42 Pleasant Ridge
1011,43 West Haven
1012,44 Ridgedale
1013,45 Bearden Middle
1014,46 1st Nazarene
1015,47 Bearden High
1016,48 Pond Gap
1017,49 Bearden Elementary
1018,50N West High
1019,50S West High
1020,51 Deane Hill Rec Ctr
1021,55 Lonas
1022,56 Heiskell
1023,57 Hills
1024,58N Pedigo
1025,58S Pedigo
1026,59 Brickey
1027,60 Fort Sumter
1028,61 Halls
1029,62 Hardin Valley
1030,63 Karns
1031,63N Karns North
1032,64 Solway
1033,65W Concord
1034,65E Shoreline
1035,65N Concord North
1036,66N Farragut I
1037,66S Farragut II
1038,67 North Cedar Bluff
1039,68 South Cedar Bluff
1040,68E East Cedar Bluff
1041,69E Bluegrass
1042,69N West Valley
1043,69W A. L. Lotts
1044,69S Northshore
1045,70E Amherst
1046,70W Ball Camp
1047,71 Rocky Hill
1048,72 Dante
1049,73 Powell
1050,74 Shannondale
1051,76 Sunnyview
1052,77 Ramsey
1053,78 Riverdale
1054,79 Dora Kennedy
1055,80 Corryton
1056,81 Gibbs
1057,82 Ellistown
1058,84 Ritta
1059,85 Skaggston
1060,86 Carter
1061,87 Thorngrove
1062,89 Mt. Olive
1063,90 South Doyle
1064,92 Gap Creek
1065,93 Hopewell
1066,1 Tiptonville SR Citizens
1067,2 Courthouse
1068,3 Lake Co Middle
1069,Henning 1
1070,McBride 1
1071,Conner 2
1072,Ripley 2
1073,Ripley 3
1074,Ripley 4
1075,Lightfoot 5
1076,Arp 6
1077,Central 6
1078,Edith 7
1079,Gates 7
1080,Nankipoo 7
1081,Halls 8
1082,Early Voting - Write-Ins
1083,01-1 St. Joseph
1084,01-2 West Loretto
1085,02-1 Loretto Civ Ctr
1086,03-1 SE Lawrence
1087,03-2 Centerpoint
1088,04-1 Crossroads
1089,05-1 Leoma
1090,05-2 Gandy
1091,06-1 Iron City
1092,06-2 West Point
1093,07-1 Lawrenceburg
1094,08-1 New Prospect
1095,09-1 Ethridge
1096,09-2 Mars Hill
1097,10-1 Howards
1098,11-1 Summertown
1099,12-1 Center
1100,12-2 Henryville
1101,13-1 West End
